"","school","conf","div","season"
"1","Princeton","Ind",NA,1869
"2","Rutgers","Ind",NA,1869
"3","Princeton","Ind",NA,1870
"4","Rutgers","Ind",NA,1870
"5","Columbia","Ind",NA,1870
"6","Princeton","Ind",NA,1872
"7","Yale","Ind",NA,1872
"8","Rutgers","Ind",NA,1872
"9","Columbia","Ind",NA,1872
"10","Stevens","Ind",NA,1872
"11","Princeton","Ind",NA,1873
"12","Yale","Ind",NA,1873
"13","Columbia","Ind",NA,1873
"14","Rutgers","Ind",NA,1873
"15","Stevens","Ind",NA,1873
"16","Yale","Ind",NA,1874
"17","Princeton","Ind",NA,1874
"18","Stevens","Ind",NA,1874
"19","Columbia","Ind",NA,1874
"20","Rutgers","Ind",NA,1874
"21","Princeton","Ind",NA,1875
"22","Columbia","Ind",NA,1875
"23","Harvard","Ind",NA,1875
"24","Rutgers","Ind",NA,1875
"25","Yale","Ind",NA,1875
"26","Stevens","Ind",NA,1875
"27","Yale","Ind",NA,1876
"28","Rutgers","Ind",NA,1876
"29","Harvard","Ind",NA,1876
"30","Princeton","Ind",NA,1876
"31","Stevens","Ind",NA,1876
"32","Columbia","Ind",NA,1876
"33","Pennsylvania","Ind",NA,1876
"34","Princeton","Ind",NA,1877
"35","Yale","Ind",NA,1877
"36","Amherst","Ind",NA,1877
"37","Harvard","Ind",NA,1877
"38","Columbia","Ind",NA,1877
"39","Tufts","Ind",NA,1877
"40","Stevens","Ind",NA,1877
"41","Rutgers","Ind",NA,1877
"42","Princeton","Ind",NA,1878
"43","Stevens","Ind",NA,1878
"44","Columbia","Ind",NA,1878
"45","Pennsylvania","Ind",NA,1878
"46","Yale","Ind",NA,1878
"47","Rutgers","Ind",NA,1878
"48","Harvard","Ind",NA,1878
"49","Amherst","Ind",NA,1878
"50","Brown","Ind",NA,1878
"51","Princeton","Ind",NA,1879
"52","Yale","Ind",NA,1879
"53","Harvard","Ind",NA,1879
"54","Pennsylvania","Ind",NA,1879
"55","Rutgers","Ind",NA,1879
"56","Stevens","Ind",NA,1879
"57","Columbia","Ind",NA,1879
"58","Yale","Ind",NA,1880
"59","Princeton","Ind",NA,1880
"60","Pennsylvania","Ind",NA,1880
"61","Brown","Ind",NA,1880
"62","Harvard","Ind",NA,1880
"63","Rutgers","Ind",NA,1880
"64","Columbia","Ind",NA,1880
"65","Stevens","Ind",NA,1880
"66","Yale","Ind",NA,1881
"67","Princeton","Ind",NA,1881
"68","Dartmouth","Ind",NA,1881
"69","Harvard","Ind",NA,1881
"70","Columbia","Ind",NA,1881
"71","Amherst","Ind",NA,1881
"72","Rutgers","Ind",NA,1881
"73","Michigan","Ind",NA,1881
"74","Stevens","Ind",NA,1881
"75","Pennsylvania","Ind",NA,1881
"76","Yale","Ind",NA,1882
"77","Harvard","Ind",NA,1882
"78","Princeton","Ind",NA,1882
"79","Wesleyan (CT)","Ind",NA,1882
"80","Rutgers","Ind",NA,1882
"81","MIT","Ind",NA,1882
"82","Dartmouth","Ind",NA,1882
"83","Amherst","Ind",NA,1882
"84","Columbia","Ind",NA,1882
"85","Stevens","Ind",NA,1882
"86","Pennsylvania","Ind",NA,1882
"87","Massachusetts","Ind",NA,1882
"88","Lafayette","Ind",NA,1882
"89","Yale","Ind",NA,1883
"90","Princeton","Ind",NA,1883
"91","Harvard","Ind",NA,1883
"92","Pennsylvania","Ind",NA,1883
"93","Stevens","Ind",NA,1883
"94","Wesleyan (CT)","Ind",NA,1883
"95","Lafayette","Ind",NA,1883
"96","Michigan","Ind",NA,1883
"97","Rutgers","Ind",NA,1883
"98","Columbia","Ind",NA,1883
"99","Yale","Ind",NA,1884
"100","Princeton","Ind",NA,1884
"101","Pennsylvania","Ind",NA,1884
"102","Wesleyan (CT)","Ind",NA,1884
"103","Harvard","Ind",NA,1884
"104","Stevens","Ind",NA,1884
"105","Rutgers","Ind",NA,1884
"106","Lafayette","Ind",NA,1884
"107","Lehigh","Ind",NA,1884
"108","Princeton","Ind",NA,1885
"109","Yale","Ind",NA,1885
"110","Wesleyan (CT)","Ind",NA,1885
"111","Pennsylvania","Ind",NA,1885
"112","Stevens","Ind",NA,1885
"113","Lafayette","Ind",NA,1885
"114","Lehigh","Ind",NA,1885
"115","Yale","Ind",NA,1886
"116","Princeton","Ind",NA,1886
"117","Harvard","Ind",NA,1886
"118","Lafayette","Ind",NA,1886
"119","Williams","Ind",NA,1886
"120","Wesleyan (CT)","Ind",NA,1886
"121","Pennsylvania","Ind",NA,1886
"122","Lehigh","Ind",NA,1886
"123","Dartmouth","Ind",NA,1886
"124","MIT","Ind",NA,1886
"125","Stevens","Ind",NA,1886
"126","Amherst","Ind",NA,1886
"127","Rutgers","Ind",NA,1886
"128","Tufts","Ind",NA,1886
"129","Yale","Ind",NA,1887
"130","Princeton","Ind",NA,1887
"131","Harvard","Ind",NA,1887
"132","MIT","Ind",NA,1887
"133","Lafayette","Ind",NA,1887
"134","Dartmouth","Ind",NA,1887
"135","Wesleyan (CT)","Ind",NA,1887
"136","Lehigh","Ind",NA,1887
"137","Williams","Ind",NA,1887
"138","Pennsylvania","Ind",NA,1887
"139","Rutgers","Ind",NA,1887
"140","Trinity (CT)","Ind",NA,1887
"141","Amherst","Ind",NA,1887
"142","Tufts","Ind",NA,1887
"143","Stevens","Ind",NA,1887
"144","Yale","Ind",NA,1888
"145","Princeton","Ind",NA,1888
"146","Harvard","Ind",NA,1888
"147","Cornell","Ind",NA,1888
"148","Lehigh","Ind",NA,1888
"149","Pennsylvania","Ind",NA,1888
"150","Williams","Ind",NA,1888
"151","Lafayette","Ind",NA,1888
"152","Trinity (CT)","Ind",NA,1888
"153","Wesleyan (CT)","Ind",NA,1888
"154","Dartmouth","Ind",NA,1888
"155","MIT","Ind",NA,1888
"156","Stevens","Ind",NA,1888
"157","WPI","Ind",NA,1888
"158","Rutgers","Ind",NA,1888
"159","Amherst","Ind",NA,1888
"160","Bucknell","Ind",NA,1888
"161","Swarthmore","Ind",NA,1888
"162","Princeton","Ind",NA,1889
"163","Yale","Ind",NA,1889
"164","Harvard","Ind",NA,1889
"165","Dartmouth","Ind",NA,1889
"166","Cornell","Ind",NA,1889
"167","Lehigh","Ind",NA,1889
"168","Pennsylvania","Ind",NA,1889
"169","Franklin & Marshall","Ind",NA,1889
"170","Wesleyan (CT)","Ind",NA,1889
"171","Williams","Ind",NA,1889
"172","Lafayette","Ind",NA,1889
"173","Trinity (CT)","Ind",NA,1889
"174","Dickinson","Ind",NA,1889
"175","MIT","Ind",NA,1889
"176","Amherst","Ind",NA,1889
"177","Stevens","Ind",NA,1889
"178","Rutgers","Ind",NA,1889
"179","Columbia","Ind",NA,1889
"180","Penn State","Ind",NA,1889
"181","Bucknell","Ind",NA,1889
"182","Swarthmore","Ind",NA,1889
"183","Harvard","Ind",NA,1890
"184","Yale","Ind",NA,1890
"185","Princeton","Ind",NA,1890
"186","Williams","Ind",NA,1890
"187","Pennsylvania","Ind",NA,1890
"188","Amherst","Ind",NA,1890
"189","Lehigh","Ind",NA,1890
"190","Cornell","Ind",NA,1890
"191","Wesleyan (CT)","Ind",NA,1890
"192","Dartmouth","Ind",NA,1890
"193","Rutgers","Ind",NA,1890
"194","Franklin & Marshall","Ind",NA,1890
"195","Virginia","Ind",NA,1890
"196","Trinity (CT)","Ind",NA,1890
"197","Lafayette","Ind",NA,1890
"198","Bucknell","Ind",NA,1890
"199","Columbia","Ind",NA,1890
"200","Dickinson","Ind",NA,1890
"201","Yale","Ind",NA,1891
"202","Harvard","Ind",NA,1891
"203","Princeton","Ind",NA,1891
"204","Williams","Ind",NA,1891
"205","Pennsylvania","Ind",NA,1891
"206","Cornell","Ind",NA,1891
"207","Amherst","Ind",NA,1891
"208","Dartmouth","Ind",NA,1891
"209","Lehigh","Ind",NA,1891
"210","Penn State","Ind",NA,1891
"211","Bucknell","Ind",NA,1891
"212","Navy","Ind",NA,1891
"213","Rutgers","Ind",NA,1891
"214","Springfield","Ind",NA,1891
"215","Trinity (CT)","Ind",NA,1891
"216","Wesleyan (CT)","Ind",NA,1891
"217","Army","Ind",NA,1891
"218","Lafayette","Ind",NA,1891
"219","MIT","Ind",NA,1891
"220","Stevens","Ind",NA,1891
"221","Brown","Ind",NA,1891
"222","Massachusetts","Ind",NA,1891
"223","Dickinson","Ind",NA,1891
"224","Franklin & Marshall","Ind",NA,1891
"225","Columbia","Ind",NA,1891
"226","Haverford","Ind",NA,1891
"227","Yale","Ind",NA,1892
"228","Harvard","Ind",NA,1892
"229","Purdue","Ind",NA,1892
"230","Cornell","Ind",NA,1892
"231","Princeton","Ind",NA,1892
"232","Pennsylvania","Ind",NA,1892
"233","Minnesota","Ind",NA,1892
"234","Navy","Ind",NA,1892
"235","Amherst","Ind",NA,1892
"236","Army","Ind",NA,1892
"237","Tufts","Ind",NA,1892
"238","Michigan","Ind",NA,1892
"239","Illinois","Ind",NA,1892
"240","Wisconsin","Ind",NA,1892
"241","MIT","Ind",NA,1892
