"","Month","Date","Day","Year","Season","School","Opponent","Wk"
"1",12,1992-12-05,5,1992,1992,"Alabama","Florida","15"
"2",12,1993-12-04,4,1993,1993,"Florida","Alabama","15"
"3",12,1994-12-03,3,1994,1994,"Florida","Alabama","15"
"4",12,1995-12-02,2,1995,1995,"Florida","Arkansas","15"
"5",12,1996-12-07,7,1996,1996,"Brigham Young","Wyoming","16"
"6",12,1996-12-07,7,1996,1996,"Florida","Alabama","16"
"7",12,1996-12-07,7,1996,1996,"Texas","Nebraska","16"
"8",12,1997-12-05,5,1997,1997,"Marshall","Toledo","16"
"9",12,1997-12-06,6,1997,1997,"Colorado State","New Mexico","16"
"10",12,1997-12-06,6,1997,1997,"Nebraska","Texas A&M","16"
"11",12,1997-12-06,6,1997,1997,"Tennessee","Auburn","16"
"12",12,1998-12-04,4,1998,1998,"Marshall","Toledo","15"
"13",12,1998-12-05,5,1998,1998,"Air Force","Brigham Young","15"
"14",12,1998-12-05,5,1998,1998,"Tennessee","Mississippi State","15"
"15",12,1998-12-05,5,1998,1998,"Texas A&M","Kansas State","15"
"16",12,1999-12-03,3,1999,1999,"Marshall","Western Michigan","15"
"17",12,1999-12-04,4,1999,1999,"Alabama","Florida","15"
"18",12,1999-12-04,4,1999,1999,"Nebraska","Texas","15"
"19",12,2000-12-02,2,2000,2000,"Florida","Auburn","15"
"20",12,2000-12-02,2,2000,2000,"Marshall","Western Michigan","15"
"21",12,2000-12-02,2,2000,2000,"Oklahoma","Kansas State","15"
"22",11,2001-11-30,30,2001,2001,"Toledo","Marshall","14"
"23",12,2001-12-01,1,2001,2001,"Colorado","Texas","14"
"24",12,2001-12-08,8,2001,2001,"Louisiana State","Tennessee","15"
"25",12,2002-12-07,7,2002,2002,"Georgia","Arkansas","16"
"26",12,2002-12-07,7,2002,2002,"Marshall","Toledo","16"
"27",12,2002-12-07,7,2002,2002,"Oklahoma","Colorado","16"
"28",12,2003-12-04,4,2003,2003,"Miami (OH)","Bowling Green","16"
"29",12,2003-12-06,6,2003,2003,"Kansas State","Oklahoma","16"
"30",12,2003-12-06,6,2003,2003,"Louisiana State","Georgia","16"
"31",12,2004-12-02,2,2004,2004,"Toledo","Miami (OH)","15"
"32",12,2004-12-04,4,2004,2004,"Auburn","Tennessee","15"
"33",12,2004-12-04,4,2004,2004,"Oklahoma","Colorado","15"
"34",12,2005-12-01,1,2005,2005,"Akron","Northern Illinois","14"
"35",12,2005-12-03,3,2005,2005,"Florida State","Virginia Tech","14"
"36",12,2005-12-03,3,2005,2005,"Georgia","Louisiana State","14"
"37",12,2005-12-03,3,2005,2005,"Texas","Colorado","14"
"38",12,2005-12-03,3,2005,2005,"Tulsa","Central Florida","14"
"39",11,2006-11-30,30,2006,2006,"Central Michigan","Ohio","14"
"40",12,2006-12-01,1,2006,2006,"Houston","Southern Mississippi","14"
"41",12,2006-12-02,2,2006,2006,"Florida","Arkansas","14"
"42",12,2006-12-02,2,2006,2006,"Oklahoma","Nebraska","14"
"43",12,2006-12-02,2,2006,2006,"Wake Forest","Georgia Tech","14"
"44",1,2007-01-08,8,2007,2006,"Florida","Ohio State","18"
"45",12,2007-12-01,1,2007,2007,"Central Florida","Tulsa","14"
"46",12,2007-12-01,1,2007,2007,"Central Michigan","Miami (OH)","14"
"47",12,2007-12-01,1,2007,2007,"Louisiana State","Tennessee","14"
"48",12,2007-12-01,1,2007,2007,"Oklahoma","Missouri","14"
"49",12,2007-12-01,1,2007,2007,"Virginia Tech","Boston College","14"
"50",1,2008-01-07,7,2008,2007,"Louisiana State","Ohio State","18"
"51",12,2008-12-05,5,2008,2008,"Buffalo","Ball State","15"
"52",12,2008-12-06,6,2008,2008,"East Carolina","Tulsa","15"
"53",12,2008-12-06,6,2008,2008,"Florida","Alabama","15"
"54",12,2008-12-06,6,2008,2008,"Oklahoma","Missouri","15"
"55",12,2008-12-06,6,2008,2008,"Virginia Tech","Boston College","15"
"56",1,2009-01-08,8,2009,2008,"Florida","Oklahoma","20"
"57",12,2009-12-04,4,2009,2009,"Central Michigan","Ohio","14"
"58",12,2009-12-05,5,2009,2009,"Alabama","Florida","14"
"59",12,2009-12-05,5,2009,2009,"East Carolina","Houston","14"
"60",12,2009-12-05,5,2009,2009,"Georgia Tech","Clemson","14"
"61",12,2009-12-05,5,2009,2009,"Texas","Nebraska","14"
"62",1,2010-01-07,7,2010,2009,"Alabama","Texas","20"
"63",12,2010-12-03,3,2010,2010,"Miami (OH)","Northern Illinois","14"
"64",12,2010-12-04,4,2010,2010,"Auburn","South Carolina","14"
"65",12,2010-12-04,4,2010,2010,"Central Florida","Southern Methodist","14"
"66",12,2010-12-04,4,2010,2010,"Oklahoma","Nebraska","14"
"67",12,2010-12-04,4,2010,2010,"Virginia Tech","Florida State","14"
"68",1,2011-01-10,10,2011,2010,"Auburn","Oregon","20"
"69",12,2011-12-02,2,2011,2011,"Northern Illinois","Ohio","14"
"70",12,2011-12-02,2,2011,2011,"Oregon","UCLA","14"
"71",12,2011-12-03,3,2011,2011,"Clemson","Virginia Tech","14"
"72",12,2011-12-03,3,2011,2011,"Louisiana State","Georgia","14"
"73",12,2011-12-03,3,2011,2011,"Southern Mississippi","Houston","14"
"74",12,2011-12-03,3,2011,2011,"Wisconsin","Michigan State","14"
"75",1,2012-01-09,9,2012,2011,"Alabama","Louisiana State","20"
"76",11,2012-11-30,30,2012,2012,"Northern Illinois","Kent State","14"
"77",11,2012-11-30,30,2012,2012,"Stanford","UCLA","14"
"78",12,2012-12-01,1,2012,2012,"Alabama","Georgia","14"
"79",12,2012-12-01,1,2012,2012,"Florida State","Georgia Tech","14"
"80",12,2012-12-01,1,2012,2012,"Tulsa","Central Florida","14"
"81",12,2012-12-01,1,2012,2012,"Wisconsin","Nebraska","14"
"82",1,2013-01-07,7,2013,2012,"Alabama","Notre Dame","20"
"83",12,2013-12-06,6,2013,2013,"Bowling Green","Northern Illinois","15"
"84",12,2013-12-07,7,2013,2013,"Auburn","Missouri","15"
"85",12,2013-12-07,7,2013,2013,"Florida State","Duke","15"
"86",12,2013-12-07,7,2013,2013,"Fresno State","Utah State","15"
"87",12,2013-12-07,7,2013,2013,"Michigan State","Ohio State","15"
"88",12,2013-12-07,7,2013,2013,"Rice","Marshall","15"
"89",12,2013-12-07,7,2013,2013,"Stanford","Arizona State","15"
"90",1,2014-01-06,6,2014,2013,"Florida State","Auburn","20"
"91",12,2014-12-05,5,2014,2014,"Northern Illinois","Bowling Green","15"
"92",12,2014-12-05,5,2014,2014,"Oregon","Arizona","15"
"93",12,2014-12-06,6,2014,2014,"Alabama","Missouri","15"
"94",12,2014-12-06,6,2014,2014,"Boise State","Fresno State","15"
"95",12,2014-12-06,6,2014,2014,"Florida State","Georgia Tech","15"
"96",12,2014-12-06,6,2014,2014,"Marshall","Louisiana Tech","15"
"97",12,2014-12-06,6,2014,2014,"Ohio State","Wisconsin","15"
"98",1,2015-01-12,12,2015,2014,"Ohio State","Oregon","21"
"99",12,2015-12-04,4,2015,2015,"Bowling Green","Northern Illinois","14"
"100",12,2015-12-05,5,2015,2015,"Alabama","Florida","14"
"101",12,2015-12-05,5,2015,2015,"Clemson","North Carolina","14"
"102",12,2015-12-05,5,2015,2015,"Houston","Temple","14"
"103",12,2015-12-05,5,2015,2015,"Michigan State","Iowa","14"
"104",12,2015-12-05,5,2015,2015,"San Diego State","Air Force","14"
