Rk,Year,Conf,W,L,T,AP Pre,AP High,AP Post,CFP High,CFP Final,Coach(es),Bowl,Notes
1,2025,Big 12,8,4,0,22,12,,,,Matt Campbell (8-4),,
2,2024,Big 12,11,3,0,,9,15,16,18,Matt Campbell (11-3),Pop-Tarts Bowl (W),
3,2023,Big 12,7,6,0,,,,,,Matt Campbell (7-6),Liberty Bowl (L),
4,2022,Big 12,4,8,0,,,,,,Matt Campbell (4-8),,
5,2021,Big 12,7,6,0,7,7,,,,Matt Campbell (7-6),Cheez-It Bowl (L),
6,2020,Big 12,9,3,0,23,8,9,6,10,Matt Campbell (9-3),Fiesta Bowl (W),
7,2019,Big 12,7,6,0,21,21,,22,,Matt Campbell (7-6),Camping World Bowl (L),
8,2018,Big 12,8,5,0,,18,,16,24,Matt Campbell (8-5),Alamo Bowl (L),
9,2017,Big 12,8,5,0,,14,,15,,Matt Campbell (8-5),Liberty Bowl (W),
10,2016,Big 12,3,9,0,,,,,,Matt Campbell (3-9),,
11,2015,Big 12,3,9,0,,,,,,Paul Rhoads (3-9),,
12,2014,Big 12,2,10,0,,,,,,Paul Rhoads (2-10),,
13,2013,Big 12,3,9,0,,,,,,Paul Rhoads (3-9),,
14,2012,Big 12,6,7,0,,,,,,Paul Rhoads (6-7),Liberty Bowl (L),
15,2011,Big 12,6,7,0,,,,,,Paul Rhoads (6-7),Pinstripe Bowl (L),
16,2010,Big 12,5,7,0,,,,,,Paul Rhoads (5-7),,
17,2009,Big 12,7,6,0,,,,,,Paul Rhoads (7-6),Insight Bowl (W),
18,2008,Big 12,2,10,0,,,,,,Gene Chizik (2-10),,
19,2007,Big 12,3,9,0,,,,,,Gene Chizik (3-9),,
20,2006,Big 12,4,8,0,,,,,,Dan McCarney (4-8),,
21,2005,Big 12,7,5,0,,22,,,,Dan McCarney (7-5),Houston Bowl (L),
22,2004,Big 12,7,5,0,,,,,,Dan McCarney (7-5),Independence Bowl (W),
23,2003,Big 12,2,10,0,,,,,,Dan McCarney (2-10),,
24,2002,Big 12,7,7,0,,9,,,,Dan McCarney (7-7),Humanitarian Bowl (L),
25,2001,Big 12,7,5,0,,,,,,Dan McCarney (7-5),Independence Bowl (L),
26,2000,Big 12,9,3,0,,25,25,,,Dan McCarney (9-3),Insight Bowl (W),
27,1999,Big 12,4,7,0,,,,,,Dan McCarney (4-7),,
28,1998,Big 12,3,8,0,,,,,,Dan McCarney (3-8),,
29,1997,Big 12,1,10,0,,,,,,Dan McCarney (1-10),,record adjusted to 2-9-0 by NCAA
30,1996,Big 12,2,9,0,,,,,,Dan McCarney (2-9),,
31,1995,Big 8,3,8,0,,,,,,Dan McCarney (3-8),,
32,1994,Big 8,0,10,1,,,,,,Jim Walden (0-10-1),,
33,1993,Big 8,3,8,0,,,,,,Jim Walden (3-8),,
34,1992,Big 8,4,7,0,,,,,,Jim Walden (4-7),,
35,1991,Big 8,3,7,1,,,,,,Jim Walden (3-7-1),,
36,1990,Big 8,4,6,1,,,,,,Jim Walden (4-6-1),,
37,1989,Big 8,6,5,0,,,,,,Jim Walden (6-5),,
38,1988,Big 8,5,6,0,,,,,,Jim Walden (5-6),,
39,1987,Big 8,3,8,0,,,,,,Jim Walden (3-8),,
40,1986,Big 8,6,5,0,,,,,,Jim Criner (5-4) Chuck Banker (1-1),,
41,1985,Big 8,5,6,0,,,,,,Jim Criner (5-6),,
42,1984,Big 8,2,7,2,,,,,,Jim Criner (2-7-2),,
43,1983,Big 8,4,7,0,,,,,,Jim Criner (4-7),,
44,1982,Big 8,4,6,1,,,,,,Donnie Duncan (4-6-1),,
45,1981,Big 8,5,5,1,,11,,,,Donnie Duncan (5-5-1),,
46,1980,Big 8,6,5,0,,19,,,,Donnie Duncan (6-5),,
47,1979,Big 8,3,8,0,,,,,,Donnie Duncan (3-8),,
48,1978,Big 8,8,4,0,20,15,,,,Earle Bruce (8-4),Hall of Fame Classic (L),
49,1977,Big 8,8,4,0,,16,,,,Earle Bruce (8-4),Peach Bowl (L),
50,1976,Big 8,8,3,0,,14,19,,,Earle Bruce (8-3),,
51,1975,Big 8,4,7,0,,,,,,Earle Bruce (4-7),,
52,1974,Big 8,4,7,0,,,,,,Earle Bruce (4-7),,
53,1973,Big 8,4,7,0,,,,,,Earle Bruce (4-7),,
54,1972,Big 8,5,6,1,,12,,,,Johnny Majors (5-6-1),Liberty Bowl (L),
55,1971,Big 8,8,4,0,,,,,,Johnny Majors (8-4),Sun Bowl (L),
56,1970,Big 8,5,6,0,,,,,,Johnny Majors (5-6),,
57,1969,Big 8,3,7,0,,,,,,Johnny Majors (3-7),,
58,1968,Big 8,3,7,0,,,,,,Johnny Majors (3-7),,
59,1967,Big 8,2,8,0,,,,,,Clay Stapleton (2-8),,
60,1966,Big 8,2,6,2,,,,,,Clay Stapleton (2-6-2),,
61,1965,Big 8,5,4,1,,,,,,Clay Stapleton (5-4-1),,
62,1964,Big 8,1,8,1,,,,,,Clay Stapleton (1-8-1),,
63,1963,Big 8,4,5,0,,,,,,Clay Stapleton (4-5),,
64,1962,Big 8,5,5,0,,,,,,Clay Stapleton (5-5),,
65,1961,Big 8,5,5,0,,,,,,Clay Stapleton (5-5),,
66,1960,Big 8,7,3,0,,,,,,Clay Stapleton (7-3),,
67,1959,Big 7,7,3,0,,,,,,Clay Stapleton (7-3),,
68,1958,Big 7,4,6,0,,,,,,Clay Stapleton (4-6),,
69,1957,Big 7,4,5,1,,,,,,Jim Myers (4-5-1),,
70,1956,Big 7,2,8,0,,,,,,Vince Di Francesca (2-8),,
71,1955,Big 7,1,7,1,,,,,,Vince Di Francesca (1-7-1),,
72,1954,Big 7,3,6,0,,,,,,Vince Di Francesca (3-6),,
73,1953,Big 7,2,7,0,,,,,,Abe Stuber (2-7),,
74,1952,Big 7,3,6,0,,,,,,Abe Stuber (3-6),,
75,1951,Big 7,4,4,1,,,,,,Abe Stuber (4-4-1),,
76,1950,Big 7,3,6,1,,,,,,Abe Stuber (3-6-1),,
77,1949,Big 7,5,3,1,,,,,,Abe Stuber (5-3-1),,
78,1948,Big 7,4,6,0,,,,,,Abe Stuber (4-6),,
79,1947,Big 6,3,6,0,,,,,,Abe Stuber (3-6),,
80,1946,Big 6,2,6,1,,,,,,Mike Michalske (2-6-1),,
81,1945,Big 6,4,3,1,,,,,,Mike Michalske (4-3-1),,
82,1944,Big 6,6,1,1,,,,,,Mike Michalske (6-1-1),,
83,1943,Big 6,4,4,0,,,,,,Mike Michalske (4-4),,
84,1942,Big 6,3,6,0,,,,,,Ray Donels (1-2) Mike Michalske (2-4),,
85,1941,Big 6,2,6,1,,,,,,Ray Donels (2-6-1),,
86,1940,Big 6,4,5,0,,,,,,Jim Yeager (4-5),,
87,1939,Big 6,2,7,0,,,,,,Jim Yeager (2-7),,
88,1938,Big 6,7,1,1,,18,,,,Jim Yeager (7-1-1),,
89,1937,Big 6,3,6,0,,,,,,Jim Yeager (3-6),,
