"","player","season","schl","games","gs","mp"
"1","A'Jahni Levias",2022,"North Dakota",24,4,301
"2","A'lahn Sumler",2022,"Northern Kentucky",28,0,281
"3","A'uston Calhoun",2010,"Bowling Green State",33,18,834
"4","A'uston Calhoun",2011,"Bowling Green State",32,32,925
"5","A'uston Calhoun",2012,"Bowling Green State",32,32,1090
"6","A.J. Avery",2012,"Western Michigan",19,0,87
"7","A.J. Avery",2013,"Western Michigan",32,0,313
"8","A.J. Avery",2014,"Western Michigan",28,0,289
"9","A.J. Avery",2015,"Western Michigan",32,32,786
"10","A.J. Gareri",2017,"Ohio",10,0,61
"11","A.J. Hammons",2012,"Purdue",34,27,786
"12","A.J. Hammons",2013,"Purdue",31,25,775
"13","A.J. Hammons",2014,"Purdue",34,23,827
"14","A.J. Hammons",2015,"Purdue",33,20,813
"15","A.J. Harris",2015,"Ohio State",35,4,479
"16","A.J. Hess",2016,"South Dakota State",29,20,747
"17","A.J. Hoggard",2020,"Michigan State",26,8,344
"18","A.J. Hoggard",2021,"Michigan State",36,8,728
"19","A.J. Hoggard",2022,"Michigan State",34,33,1041
"20","A.J. Hoggard",2023,"Michigan State",6,6,157
"21","A.J. Jacobson",2014,"North Dakota State",28,28,919
"22","A.J. Jacobson",2015,"North Dakota State",33,32,1133
"23","A.J. Jacobson",2016,"North Dakota State",29,28,924
"24","A.J. Jacobson",2017,"North Dakota State",32,32,826
"25","A.J. Mathew",2011,"Toledo",31,0,198
"26","A.J. Mathew",2012,"Toledo",8,0,37
"27","A.J. McGinnis",2021,"Cincinnati",8,0,41
"28","A.J. Oliver",2022,"Detroit Mercy",29,26,744
"29","A.J. Pacher",2010,"Wright State",32,3,370
"30","A.J. Pacher",2011,"Wright State",32,9,461
"31","A.J. Pacher",2012,"Wright State",33,13,464
"32","A.J. Pacher",2013,"Wright State",36,34,832
"33","A.J. Patty",2015,"Murray State",18,0,93
"34","A.J. Plitzuweit",2020,"South Dakota",22,22,754
"35","A.J. Plitzuweit",2022,"South Dakota",29,27,801
"36","A.J. Rutter",2013,"Drake",2,0,1
"37","A.J. Rutter",2015,"Drake",1,0,3
"38","A.J. Rutter",2016,"Drake",6,0,14
"39","A.J. Turner",2018,"Northwestern",32,20,957
"40","A.J. Turner",2019,"Northwestern",30,4,731
"41","Aanen Moody",2018,"North Dakota",30,0,691
"42","Aanen Moody",2019,"North Dakota",9,0,142
"43","Aarias Austin",2015,"Northern Iowa",9,0,120
"44","Aaric Armstead",2013,"Northern Illinois",30,NA,766
"45","Aaric Armstead",2014,"Northern Illinois",28,27,807
"46","Aaric Armstead",2015,"Northern Illinois",34,34,983
"47","Aaric Armstead",2016,"Northern Illinois",32,31,974
"48","Aaris-Monte Bonds",2020,"Chicago State",6,5,129
"49","Aaron Adeoye",2011,"Ball State",30,8,520
"50","Aaron Anderson",2010,"North Dakota",34,1,754
"51","Aaron Anderson",2011,"North Dakota",32,32,963
"52","Aaron Anderson",2012,"North Dakota",33,33,1055
"53","Aaron Anderson",2013,"North Dakota",34,30,1000
"54","Aaron Anderson",2015,"Oral Roberts",30,17,681
"55","Aaron Anderson",2016,"Oral Roberts",26,24,762
"56","Aaron Armstead",2011,"Green Bay",30,4,436
"57","Aaron Armstead",2013,"Northern Illinois",32,NA,618
"58","Aaron Armstead",2014,"Northern Illinois",29,5,607
