"","player","pos","season","school_name","class"
"1","Nikola Cvetinovic","F",2010,"Akron","JR"
"2","Brett McClanahan","G",2010,"Akron","JR"
"3","Steve McNees","G",2010,"Akron","SR"
"4","Zeke Marshall","C",2010,"Akron","SO"
"5","Darryl Roberts","G",2010,"Akron","SR"
"6","Brett McKnight","F",2010,"Akron","SR"
"7","Alex Abreu","G",2010,"Akron","FR"
"8","Quincy Diggs","F",2010,"Akron","SO"
"9","Mike Bardo","C",2010,"Akron","SR"
"10","Josh Egner","F",2010,"Akron","FR"
"11","Dakotah Euton","F",2010,"Akron","FR"
"12","Kyle Petersen","G",2010,"Akron","JR"
"13","C.J. Oldham","F",2010,"Akron","FR"
"14","Brian Walsh","G",2010,"Akron","SO"
"15","Zeke Marshall","C",2011,"Akron","JR"
"16","Nikola Cvetinovic","F",2011,"Akron","SR"
"17","Alex Abreu","G",2011,"Akron","SO"
"18","Quincy Diggs","F",2011,"Akron","JR"
"19","Brian Walsh","G",2011,"Akron","SO"
"20","Nick Harney","F",2011,"Akron","SO"
"21","Demetrius Treadwell","F",2011,"Akron","SO"
"22","Chauncey Gilliam","F",2011,"Akron","JR"
"23","Brett McClanahan","G",2011,"Akron","SR"
"24","Adedeji Ibitayo","G",2011,"Akron","FR"
"25","Josh Egner","F",2011,"Akron","SO"
"26","C.J. Oldham","F",2011,"Akron","SO"
"27","Kyle Petersen","G",2011,"Akron","SR"
"28","Michael Green","F",2011,"Akron","FR"
"29","Luke Avsec","G",2011,"Akron","SO"
"30","Zeke Marshall","C",2012,"Akron","SR"
"31","Demetrius Treadwell","F",2012,"Akron","JR"
"32","Alex Abreu","G",2012,"Akron","JR"
"33","Nick Harney","F",2012,"Akron","JR"
"34","Brian Walsh","G",2012,"Akron","JR"
"35","Jake Kretzer","F",2012,"Akron","FR"
"36","Chauncey Gilliam","F",2012,"Akron","SR"
"37","Reggie McAdams","F",2012,"Akron","FR"
"38","Pat Forsythe","C",2012,"Akron","FR"
"39","Adedeji Ibitayo","G",2012,"Akron","SO"
"40","Carmelo Betancourt","G",2012,"Akron","FR"
"41","Jonas Stalyga","F",2012,"Akron","SO"
"42","Darius Hoisten","G",2012,"Akron","FR"
"43","Blake Justice","G",2012,"Akron","FR"
"44","Luke Avsec","G",2012,"Akron","JR"
"45","Demetrius Treadwell","F",2013,"Akron","SR"
"46","Quincy Diggs","F",2013,"Akron","SR"
"47","Nick Harney","F",2013,"Akron","SR"
"48","Jake Kretzer","F",2013,"Akron","SO"
"49","Reggie McAdams","F",2013,"Akron","SO"
"50","Nyles Evans","G",2013,"Akron","JR"
"51","Pat Forsythe","C",2013,"Akron","SO"
"52","Adedeji Ibitayo","G",2013,"Akron","JR"
"53","Isaiah Johnson","C",2013,"Akron","FR"
"54","Carmelo Betancourt","G",2013,"Akron","SO"
"55","Kwan Cheatham","F",2013,"Akron","FR"
"56","Mark Noble","G",2013,"Akron","FR"
"57","Adedeji Ibitayo","G",2014,"Akron","SR"
"58","Pat Forsythe","C",2014,"Akron","JR"
"59","Kwan Cheatham","F",2014,"Akron","SO"
"60","Noah Robotham","G",2014,"Akron","FR"
"61","Reggie McAdams","F",2014,"Akron","JR"
"62","Antino Jackson","G",2014,"Akron","FR"
"63","Jake Kretzer","F",2014,"Akron","JR"
"64","Isaiah Johnson","C",2014,"Akron","SO"
