"","player","schl","season","total_games","total_starts","total_min","next_season"
"1","A'Jahni Levias","North Dakota",2022,24,4,301,2023
"2","A'lahn Sumler","Northern Kentucky",2022,28,0,281,2023
"3","A'Torey Everett","Tennessee State",2016,24,1,233,2017
"4","A'uston Calhoun","Bowling Green State",2010,33,18,834,2011
"5","A'uston Calhoun","Bowling Green State",2011,32,32,925,2012
"6","A'uston Calhoun","Bowling Green State",2012,32,32,1090,2013
"7","A.C. Reid","Tennessee State",2017,10,1,102,2018
"8","A.J. Astroth","Vanderbilt",2012,9,0,42,2013
"9","A.J. Avery","Western Michigan",2012,19,0,87,2013
"10","A.J. Avery","Western Michigan",2013,32,0,313,2014
"11","A.J. Avery","Western Michigan",2014,28,0,289,2015
"12","A.J. Avery","Western Michigan",2015,32,32,786,2016
"13","A.J. Bowers","Chattanooga",2017,14,0,74,2018
"14","A.J. Caldwell","Chattanooga",2018,23,0,316,2019
"15","A.J. Caldwell","Chattanooga",2019,33,2,691,2020
"16","A.J. Caldwell","Chattanooga",2020,26,14,850,2021
"17","A.J. Caldwell","Chattanooga",2021,35,15,996,2022
"18","A.J. Caldwell","Chattanooga",2022,35,35,974,2023
"19","A.J. Davis","Tennessee",2013,25,1,235,2014
"20","A.J. Frazier","Xavier",2018,1,0,1,2019
"21","A.J. Gareri","Ohio",2017,10,0,61,2018
"22","A.J. Hammons","Purdue",2012,34,27,786,2013
"23","A.J. Hammons","Purdue",2013,31,25,775,2014
"24","A.J. Hammons","Purdue",2014,34,23,827,2015
"25","A.J. Hammons","Purdue",2015,33,20,813,2016
"26","A.J. Harris","Ohio State",2015,35,4,479,2016
"27","A.J. Hess","South Dakota State",2016,29,20,747,2017
"28","A.J. Hicks","Morehead State",2017,29,22,885,2018
"29","A.J. Hicks","Morehead State",2018,33,33,1083,2019
"30","A.J. Hoggard","Michigan State",2020,26,8,344,2021
"31","A.J. Hoggard","Michigan State",2021,36,8,728,2022
"32","A.J. Hoggard","Michigan State",2022,34,33,1041,2023
"33","A.J. Hoggard","Michigan State",2023,7,6,179,2024
"34","A.J. Jacobson","North Dakota State",2014,28,28,919,2015
"35","A.J. Jacobson","North Dakota State",2015,33,32,1133,2016
"36","A.J. Jacobson","North Dakota State",2016,29,28,924,2017
"37","A.J. Jacobson","North Dakota State",2017,32,32,826,2018
"38","A.J. Lynch","Austin Peay",2012,29,9,386,2013
"39","A.J. Mathew","Toledo",2011,31,0,198,2012
"40","A.J. Mathew","Toledo",2012,8,0,37,2013
"41","A.J. McGinnis","Cincinnati",2021,8,0,41,2022
"42","A.J. McGinnis","Lipscomb",2022,33,6,688,2023
"43","A.J. McGinnis","Lipscomb",2023,9,9,238,2024
"44","A.J. Merriweather","East Tennessee State",2013,35,32,928,2014
"45","A.J. Merriweather","East Tennessee State",2014,30,28,816,2015
"46","A.J. Merriweather","East Tennessee State",2015,21,12,365,2016
"47","A.J. Merriweather","East Tennessee State",2016,35,34,826,2017
"48","A.J. Oliver","Detroit Mercy",2022,29,26,744,2023
"49","A.J. Pacher","Wright State",2010,32,3,370,2011
"50","A.J. Pacher","Wright State",2011,32,9,461,2012
"51","A.J. Pacher","Wright State",2012,33,13,464,2013
"52","A.J. Pacher","Wright State",2013,36,34,832,2014
"53","A.J. Patty","Murray State",2015,18,0,93,2016
"54","A.J. Plitzuweit","South Dakota",2020,22,22,754,2021
"55","A.J. Plitzuweit","South Dakota",2022,29,27,801,2023
"56","A.J. Riley","Eastern Illinois",2015,30,11,629,2016
"57","A.J. Rutter","Drake",2013,2,0,1,2014
"58","A.J. Rutter","Drake",2015,1,0,3,2016
"59","A.J. Rutter","Drake",2016,6,0,14,2017
"60","A.J. Turner","Northwestern",2018,32,20,957,2019
"61","A.J. Turner","Northwestern",2019,30,4,731,2020
"62","A.J. Youngman","Eastern Kentucky",2017,28,6,403,2018
"63","Aanen Moody","North Dakota",2018,30,0,691,2019
"64","Aanen Moody","North Dakota",2019,9,0,142,2020
"65","Aarias Austin","Northern Iowa",2015,9,0,120,2016
"66","Aaric Armstead","Northern Illinois",2013,30,21,766,2014
"67","Aaric Armstead","Northern Illinois",2014,28,27,807,2015
"68","Aaric Armstead","Northern Illinois",2015,34,34,983,2016
"69","Aaric Armstead","Northern Illinois",2016,32,31,974,2017
"70","Aaris-Monte Bonds","Chicago State",2020,6,5,129,2021
"71","Aaron Adeoye","Ball State",2011,30,8,520,2012
"72","Aaron Anderson","North Dakota",2010,34,1,754,2011
"73","Aaron Anderson","North Dakota",2011,32,32,963,2012
"74","Aaron Anderson","North Dakota",2012,33,33,1055,2013
"75","Aaron Anderson","North Dakota",2013,34,30,1000,2014
"76","Aaron Anderson","Oral Roberts",2015,30,17,681,2016
"77","Aaron Anderson","Oral Roberts",2016,26,24,762,2017
"78","Aaron Armstead","Green Bay",2011,30,4,436,2012
"79","Aaron Armstead","Northern Illinois",2013,32,7,618,2014
"80","Aaron Armstead","Northern Illinois",2014,29,5,607,2015
"81","Aaron Brennan","IUPUI",2014,28,24,585,2015
"82","Aaron Brennan","IUPUI",2015,32,10,569,2016
"83","Aaron Brennan","IUPUI",2016,32,10,596,2017
"84","Aaron Brennan","IUPUI",2017,30,30,818,2018
"85","Aaron Calixte","Oklahoma",2018,34,19,717,2019
"86","Aaron Carter","Indiana State",2010,34,24,779,2011
"87","Aaron Cook","Southern Illinois",2016,32,0,338,2017
"88","Aaron Cook","Southern Illinois",2017,33,32,989,2018
"89","Aaron Cook","Southern Illinois",2018,32,32,1048,2019
"90","Aaron Cook","Southern Illinois",2019,6,6,187,2020
"91","Aaron Cooper","Missouri State",2010,14,0,51,2011
"92","Aaron Cosby","Illinois",2014,19,13,480,2015
"93","Aaron Craft","Ohio State",2010,37,2,1096,2011
"94","Aaron Craft","Ohio State",2011,39,39,1255,2012
"95","Aaron Craft","Ohio State",2012,37,37,1263,2013
"96","Aaron Craft","Ohio State",2013,35,35,1204,2014
"97","Aaron Ellis","Wichita State",2010,37,21,664,2011
"98","Aaron Falzon","Northwestern",2015,32,29,785,2016
"99","Aaron Falzon","Northwestern",2016,3,0,20,2017
"100","Aaron Falzon","Northwestern",2017,28,10,447,2018
"101","Aaron Falzon","Northwestern",2018,17,4,264,2019
"102","Aaron Fiegen","South Dakota State",2019,9,0,25,2020
"103","Aaron Fiegen","South Dakota State",2020,10,0,28,2021
"104","Aaron Fiegen","South Dakota State",2021,12,0,41,2022
"105","Aaron Fiegen","South Dakota State",2022,8,0,16,2023
"106","Aaron Foster-Smith","Detroit Mercy",2015,30,1,321,2016
"107","Aaron Foster-Smith","Detroit Mercy",2016,4,0,57,2017
"108","Aaron Franklin","Milwaukee",2023,7,1,81,2024
"109","Aaron Ganson","Bradley",2010,2,0,2,2011
"110","Aaron Hawley","Drake",2010,30,4,484,2011
"111","Aaron Hawley","Drake",2011,34,12,704,2012
"112","Aaron Hawley","Drake",2013,31,25,841,2014
"113","Aaron Henry","Michigan State",2018,39,22,860,2019
"114","Aaron Henry","Michigan State",2019,30,29,872,2020
"115","Aaron Henry","Michigan State",2020,28,26,910,2021
"116","Aaron Jackson","Akron",2014,29,1,269,2015
"117","Aaron Jackson","Akron",2015,29,6,285,2016
"118","Aaron Jackson","Akron",2016,32,9,423,2017
"119","Aaron Jordan","Illinois",2015,30,5,350,2016
"120","Aaron Jordan","Illinois",2016,24,2,165,2017
"121","Aaron Jordan","Illinois",2017,32,6,644,2018
"122","Aaron Jordan","Illinois",2018,33,31,888,2019
"123","Aaron Korn","Lipscomb",2014,30,2,442,2015
"124","Aaron Korn","Lipscomb",2015,27,0,336,2016
"125","Aaron Korn","Lipscomb",2016,27,4,390,2017
"126","Aaron Korn","Lipscomb",2017,33,0,511,2018
"127","Aaron Law","Iowa State",2012,6,0,15,2013
"128","Aaron Liberman","Northwestern",2013,10,0,9,2014
"129","Aaron Moesch","Wisconsin",2014,14,0,28,2015
"130","Aaron Moesch","Wisconsin",2015,15,0,48,2016
"131","Aaron Moesch","Wisconsin",2016,17,0,40,2017
"132","Aaron Moesch","Wisconsin",2017,26,0,157,2018
"133","Aaron Nesmith","Vanderbilt",2018,32,19,928,2019
"134","Aaron Nesmith","Vanderbilt",2019,14,14,500,2020
"135","Aaron Noll","Vanderbilt",2010,4,0,8,2011
"136","Aaron Noll","Vanderbilt",2011,4,0,3,2012
"137","Aaron Pogue","Cleveland State",2010,36,36,902,2011
"138","Aaron Pogue","Cleveland State",2011,32,32,674,2012
"139","Aaron Scales","Cleveland State",2012,24,0,133,2013
"140","Aaron Scales","Cleveland State",2014,24,0,133,2015
"141","Aaron Scales","Cleveland State",2015,24,0,193,2016
"142","Aaron Siler","Eastern Illinois",2013,11,0,40,2014
"143","Aaron Siler","Southern Illinois",2015,2,0,3,2016
"144","Aaron Simpson","DePaul",2014,32,10,544,2015
"145","Aaron Simpson","DePaul",2015,30,20,718,2016
"146","Aaron Tate","Robert Morris",2013,36,12,669,2014
"147","Aaron Tate","Robert Morris",2014,33,30,791,2015
"148","Aaron Tate","Robert Morris",2015,3,0,46,2016
"149","Aaron Tate","Robert Morris",2016,33,32,897,2017
"150","Aaron Thompson","Butler",2017,35,32,845,2018
"151","Aaron Thompson","Butler",2018,33,33,892,2019
"152","Aaron Thompson","Butler",2019,27,27,874,2020
"153","Aaron Thompson","Butler",2020,14,14,472,2021
"154","Aaron Thompson","Butler",2021,30,30,958,2022
"155","Aaron Wheeler","Purdue",2018,36,0,495,2019
"156","Aaron Wheeler","Purdue",2019,31,9,551,2020
"157","Aaron Wheeler","Purdue",2020,28,5,512,2021
"158","Aaron White","Iowa",2011,35,14,834,2012
"159","Aaron White","Iowa",2012,38,38,1109,2013
"160","Aaron White","Iowa",2013,33,33,926,2014
"161","Aaron White","Iowa",2014,34,34,1070,2015
"162","Aaron Williams","Chicago State",2011,29,3,426,2012
"163","Aaron Williams","Chicago State",2012,25,4,260,2013
"164","Aaron Williams","Chicago State",2014,24,4,250,2015
"165","Aaron Young","Oral Roberts",2014,31,25,724,2015
"166","Aaron Young","Oral Roberts",2015,31,14,570,2016
"167","Aaron Young","Oral Roberts",2016,28,12,691,2017
"168","Abayomi Iyiola","Kansas State",2022,31,9,350,2023
"169","Abdel Nader","Iowa State",2014,32,0,524,2015
"170","Abdel Nader","Iowa State",2015,35,35,1088,2016
"171","Abdel Nader","Northern Illinois",2011,31,29,750,2012
"172","Abdel Nader","Northern Illinois",2012,19,18,483,2013
"173","Abdou Ndiaye","Illinois State",2019,28,9,333,2020
"174","Abdou Ndiaye","Illinois State",2020,23,8,326,2021
"175","Abdou Ndiaye","Illinois State",2021,26,4,246,2022
"176","Abdou Niang","Western Illinois",2010,23,6,276,2011
"177","Abdou Samb","IUPUI",2023,8,0,139,2024
"178","Abdoul Karim Coulibaly","Pittsburgh",2019,26,0,244,2020
"179","Abdoul Karim Coulibaly","Pittsburgh",2020,22,20,494,2021
"180","Abdoulaye Harouna","Miami (OH)",2015,33,18,630,2016
"181","Abdoulaye Harouna","Miami (OH)",2016,30,27,758,2017
"182","Abdoulaye Harouna","Miami (OH)",2018,32,16,470,2019
"183","Abdoulaye Thiam","Minnesota",2021,15,0,49,2022
"184","Abdul Ado","Cincinnati",2021,32,32,556,2022
"185","Abdul Ahmed","Oklahoma",2010,1,0,2,2011
"186","Abdul Fofana","Missouri State",2017,13,0,67,2018
"187","Abdullah Olajuwon","Detroit Mercy",2023,7,5,118,2024
"188","Abednego Lufile","East Tennessee State",2015,29,8,315,2016
"189","Abel Tillman","Southern Illinois-Edwardsville",2010,7,0,95,2011
"190","Abiola Akintola","Denver",2015,1,0,2,2016
"191","Abiola Akintola","Denver",2016,28,1,190,2017
"192","Abiola Akintola","Denver",2017,29,10,321,2018
"193","Abiola Akintola","Denver",2018,30,16,577,2019
"194","Abou Ousmane","Xavier",2023,7,4,108,2024
"195","Aboubacar Diallo","Eastern Illinois",2015,15,1,65,2016
"196","Aboubacar Diallo","Eastern Illinois",2016,27,2,184,2017
"197","Aboubacar Diallo","Eastern Illinois",2017,31,6,403,2018
"198","Aboubacar Diallo","Eastern Illinois",2018,25,15,263,2019
"199","Abraham Millsap","Tennessee State",2012,6,0,30,2013
"200","Acoydan McCarthy","Austin Peay",2017,23,0,107,2018
"201","Acton Shirley","IUPUI",2020,9,0,25,2021
"202","Adam Anhold","Western Illinois",2020,15,0,203,2021
"203","Adam Anhold","Western Illinois",2021,13,0,58,2022
"204","Adam Barnes","Belmont",2010,29,0,107,2011
"205","Adam Barnes","Belmont",2011,35,2,357,2012
"206","Adam Barnes","Belmont",2012,31,0,160,2013
"207","Adam Cook","Cincinnati",2020,4,1,4,2021
"208","Adam Cooper","Loyola (IL)",2011,8,0,7,2012
"209","Adam Denison","East Tennessee State",2013,1,0,0,2014
"210","Adam Dykman","South Dakota State",2016,9,0,23,2017
